<<<<<<< HEAD
latitude	longitude	mag
=======
>>>>>>> 24f50e1630d1a6dd3f34986d58d2eef22c702f1d
38.8015	-122.771	2.1
37.3649	-117.1248	2.17
37.5468	-118.7905	2.3
40.2958	-124.4852	2.8
32.3108333	-115.3215	2.41
38.8333	-122.8073	2.1
32.8043333	-115.8456667	2.21
32.8015	-115.8538333	2.28
36.3047	-120.8575	2.6
38.8217	-122.8252	2.3
39.4517	-122.1193	2.3
36.3053	-120.8577	2.3
38.8185	-122.8228	2.1
37.1535	-117.3746	2.24
36.1487	-121.6422	2.3
40.3005	-124.6077	2.8
38.7633	-122.7383	2.8
37.4488	-118.8403	2.3
35.6202	-120.9833	2.2
38.7893	-122.7315	2.1
36.8622	-121.5965	2.4
36.9395	-121.5357	3.7
36.9402	-121.537	2.5
40.1983	-121.0827	2.5
39.3883	-122.9043	2.1
38.209	-112.319	2
37.4577	-118.8387	2.1
39.3807	-123.2978	2
39.2707	-122.7887	2
37.2507	-122.1687	2.8
42.0757	-125.896	2.2
41.6516	-126.8908	5.5
37.5037	-118.8378	2.7
36.5548	-121.0912	2
32.9067	-116.2673	2.3
37.5253	-118.8283	2.9
36.518	-121.1027	2.6
33.0023	-116.4575	3.2
33.0007	-116.457	3.2
38.8325	-122.8072	2
36.545	-121.0527	2.4
32.3508	-115.3138	2.3
39.4458	-120.282	2.2
39.4458	-120.2833	2.6
32.4078	-115.4317	2.4
43.3208	-122.453	2.1
33.5878	-116.6418	2.1
38.8108	-122.7888	2.4
37.2852	-121.6645	2
42.6581	-111.1318	2.8
36.3088	-120.8285	2.2
39.4737	-123.1098	2.1
37.4947	-118.836	2.8
36.3987	-118.6563	2.2
38.809	-122.8118	2.5
38.8232	-122.8435	2.1
38.9562	-111.4155	2
35.1705	-120.9075	2.4
33.157	-115.6425	2.2
37.452	-118.8417	2.2
36.4203	-120.7538	2.5
40.8438	-118.7157	2.18
38.0247	-122.105	2.1
38.8147	-122.8265	2.3
33.706	-116.7617	2
32.0263	-116.1753	2.7
33.1097	-115.6248	2.2
36.7505	-120.8858	2.2
40.2998	-124.4548	2.4
39.7772	-122.8537	2.9
38.8048	-122.7917	2
38.8268	-122.7807	2.1
40.569	-123.8685	2
37.3489	-117.1294	2.75
44.4793	-115.6891	2
33.9087	-116.7652	2.4
38.8088	-122.8182	2.6
35.7965	-119.8075	2.2
38.4025	-122.2027	2.2
40.3012	-124.4088	2.7
39.6775	-111.5057	2.2
39.6747	-111.5127	2.8
38.834	-122.7992	2.2
38.8348	-122.7995	2.5
40.441	-125.5837	2.5
34.1805	-117.3467	2
40.3075	-124.5678	2.3
40.7343	-123.2825	2.3
34.5218	-116.5328	2
36.4013	-120.9515	2.2
36.8087	-121.5378	2.4
32.9897	-117.7547	2.1
36.5928	-120.2287	2.2
37.2436	-117.6837	2.15
34.521	-116.532	2.2
38.8803	-122.7962	2.7
33.031	-116.4238	2.1
37.7772	-121.9402	2.7
34.52	-116.5317	2.1
36.5762	-120.2417	2
42.328	-111.5397	2.2
38.541	-119.514	2.4
36.27	-114.261	2.15
36.4064	-112.2907	3
40.2965	-124.344	2.1
41.5528	-112.1097	2.1
41.5545	-112.1052	2.1
39.3487	-119.9957	2.73
45.3712	-121.706	2.2
36.0278	-117.768	2.7
39.7822	-120.682	2.1
38.7762	-122.729	2.5
38.8438	-122.828	2.7
37.8888	-122.2055	2.1
37.561	-118.8615	2.7
33.4132	-118.8733	2.9
35.4687	-119.31	2.7
32.8817	-116.2508	2.2
36.0487	-117.4805	2.2
