latitude	longitude	mag
38.8015	-122.771	2.1
37.3649	-117.1248	2.17
37.5468	-118.7905	2.3
40.2958	-124.4852	2.8
32.3108333	-115.3215	2.41
38.8333	-122.8073	2.1
36.3047	-120.8575	2.6
38.8217	-122.8252	2.3
39.4517	-122.1193	2.3
36.3053	-120.8577	2.3
38.8185	-122.8228	2.1
37.1535	-117.3746	2.24
36.1487	-121.6422	2.3
40.3005	-124.6077	2.8
38.7633	-122.7383	2.8
37.4488	-118.8403	2.3
35.6202	-120.9833	2.2
38.7893	-122.7315	2.1
36.8622	-121.5965	2.4
36.9395	-121.5357	3.7
36.9402	-121.537	2.5
40.1983	-121.0827	2.5
39.3883	-122.9043	2.1
38.209	-112.319	2
37.4577	-118.8387	2.1
39.3807	-123.2978	2
39.2707	-122.7887	2
37.2507	-122.1687	2.8
42.0757	-125.896	2.2
41.6516	-126.8908	5.5
37.5037	-118.8378	2.7
36.5548	-121.0912	2
32.9067	-116.2673	2.3
37.5253	-118.8283	2.9
36.518	-121.1027	2.6
33.0023	-116.4575	3.2
33.0007	-116.457	3.2
38.8325	-122.8072	2
36.545	-121.0527	2.4
32.3508	-115.3138	2.3
39.4458	-120.282	2.2
39.4458	-120.2833	2.6
32.4078	-115.4317	2.4
43.3208	-122.453	2.1
33.5878	-116.6418	2.1
38.8108	-122.7888	2.4
37.2852	-121.6645	2
42.6581	-111.1318	2.8
36.3088	-120.8285	2.2
39.4737	-123.1098	2.1
37.4947	-118.836	2.8
36.3987	-118.6563	2.2
38.809	-122.8118	2.5
38.8232	-122.8435	2.1
38.9562	-111.4155	2
35.1705	-120.9075	2.4
33.157	-115.6425	2.2
37.452	-118.8417	2.2
36.4203	-120.7538	2.5
40.8438	-118.7157	2.18
38.0247	-122.105	2.1
38.8147	-122.8265	2.3
33.706	-116.7617	2
32.0263	-116.1753	2.7
33.1097	-115.6248	2.2
36.7505	-120.8858	2.2
40.2998	-124.4548	2.4
39.7772	-122.8537	2.9
38.8048	-122.7917	2
38.8268	-122.7807	2.1
40.569	-123.8685	2
37.3489	-117.1294	2.75
44.4793	-115.6891	2
33.9087	-116.7652	2.4
38.8088	-122.8182	2.6
35.7965	-119.8075	2.2
38.4025	-122.2027	2.2
40.3012	-124.4088	2.7
39.6775	-111.5057	2.2
39.6747	-111.5127	2.8
38.834	-122.7992	2.2
38.8348	-122.7995	2.5
40.441	-125.5837	2.5
34.1805	-117.3467	2
40.3075	-124.5678	2.3
40.7343	-123.2825	2.3
34.5218	-116.5328	2
36.4013	-120.9515	2.2
36.8087	-121.5378	2.4
32.9897	-117.7547	2.1
36.5928	-120.2287	2.2
37.2436	-117.6837	2.15
34.521	-116.532	2.2
38.8803	-122.7962	2.7
33.031	-116.4238	2.1
37.7772	-121.9402	2.7
34.52	-116.5317	2.1
36.5762	-120.2417	2
42.328	-111.5397	2.2
38.541	-119.514	2.4
36.27	-114.261	2.15
36.4064	-112.2907	3
40.2965	-124.344	2.1
41.5545	-112.1052	2.1
41.5528	-112.1097	2.1
39.3487	-119.9957	2.73
45.3712	-121.706	2.2
36.0278	-117.768	2.7
39.7822	-120.682	2.1
38.7762	-122.729	2.5
38.8438	-122.828	2.7
37.8888	-122.2055	2.1
37.561	-118.8615	2.7
33.4132	-118.8733	2.9
35.4687	-119.31	2.7
32.8817	-116.2508	2.2
36.0487	-117.4805	2.2
38.8123	-122.8228	2.1
37.2633	-121.6475	2.2
35.8073	-121.216	2.2
40.3697	-123.7153	3.4
40.3727	-123.7183	2.1
42.9263	-111.1423	2.1
40.989	-123.5503	2.1
32.1612	-115.1585	3
40.1517	-120.973	2.1
35.4043	-118.4007	2.9
38.8107	-122.8117	2.2
39.2861	-119.134	2.15
38.8212	-122.7668	2
35.4035	-118.395	2.2
34.6697	-119.2282	2.1
36.0982	-117.8773	2.1
32.4268	-115.6058	2.4
44.5726	-114.2911	2.2
32.6928	-118.265	3.2
38.7947	-122.7875	2
38.9622	-111.4177	2
41.6055	-122.2708	2.2
36.1178	-117.6978	2.6
40.4992	-124.287	2.5
38.8117	-122.8105	2.1
38.7938	-122.734	2.1
36.2853	-120.8303	2
40.3058	-124.5608	3.7
38.8185	-122.8063	2.2
37.8855	-122.207	2.3
39.6042	-123.6465	2.4
39.1797	-123.7132	2
42.9343	-111.1223	3.3
38.2892	-122.6053	2.7
38.9095	-122.6858	2
31.2192	-115.9147	3
40.3703	-124.1727	2.2
38.8385	-122.7657	2
38.7857	-122.7768	2.2
33.7823	-117.869	2.3
38.806	-122.8128	2
39.6583	-122.0247	2
35.8583	-120.4052	2.4
40.783	-124.3222	2.2
39.8067	-123.785	2
42.967	-117.125	2.4
38.8097	-122.8223	2
37.3227	-122.0995	2
39.6772	-111.5188	2.2
43.6783	-121.1248	2.1
39.6848	-111.5163	2.4
41.8742	-126.2267	2.8
40.3508	-124.6207	2.6
38.8053	-122.774	2.4
38.8057	-122.7742	2
38.7993	-122.7722	2.6
38.7877	-122.761	3.4
40.2157	-121.1032	2.5
38.8323	-122.7983	2
33.714	-116.8273	2
45.545	-119.9412	2
39.7361	-119.5742	2.29
37.7843	-121.9638	2.4
37.7863	-121.9658	3.3
41.733	-126.979	3.3
41.9799	-126.6772	4.2
36.605	-121.1545	2.1
37.7835	-121.9638	2
37.6588	-122.4918	2.8
37.657	-122.4962	2.1
37.7743	-121.9548	2.2
37.7743	-121.9452	3
39.2072	-111.8878	2.6
38.8165	-122.799	2.2
37.7855	-122.3102	2.3
33.225	-116.0048	2
34.2155	-117.4293	2.2
38.8027	-122.7702	2.5
38.7953	-122.8093	2.3
38.7947	-122.811	2.1
38.7675	-122.916	2
37.8596	-116.1791	2.41
40.1733	-121.0348	2
39.3768	-122.9043	2.1
38.8192	-122.8318	2
36.8422	-121.5718	2.5
34.018	-117.2337	3.1
38.8092	-122.824	2.6
40.2423	-124.1245	2.1
34.1222	-117.7677	2.1
39.632	-122.8348	2.2
36.3022	-119.7488	2.3
38.8263	-122.7992	2.2
31.5102	-115.4567	2.7
39.5895	-120.7107	2.3
38.7433	-122.7177	2
40.3017	-124.5447	2.1
37.3605	-121.7227	2.6
33.9955	-117.2165	2.2
40.416	-124.625	2.6
40.1835	-121.0572	2.3
32.7307	-116.065	2.4
33.9948	-117.2193	2.1
40.4895	-125.1707	2.3
38.9698	-111.4157	2.2
38.9608	-111.4087	2.1
39.7818	-120.6785	2.8
33.994	-117.218	2.1
37.775	-121.9467	2.9
39.7822	-120.6797	2.4
31.7622	-115.877	2.6
39.7835	-120.6807	3
39.7828	-120.6773	2.1
39.7823	-120.676	2.5
39.7807	-120.6822	2.9
33.9957	-117.2168	2.8
35.9667	-120.5143	2.8
36.2728	-120.33	3
32.8205	-115.4668	2
33.7933	-117.6387	2
41.3135	-125.2592	2.8
37.5293	-118.4363	2.3
41.2253	-125.14	2.3
41.3257	-125.2915	4.7
38.8107	-122.792	2.1
36.0122	-120.5763	2
40.4117	-123.798	2
36.5353	-121.1265	2
32.1522	-115.1882	2.7
38.8297	-122.8723	2
38.7972	-122.4722	2
36.248	-120.816	2.7
39.0043	-111.4805	2.6
43.66	-121.4343	2.2
34.3372	-116.4652	2.2
40.1067	-120.8972	2.1
38.8215	-122.8042	2
34.5038	-118.7975	2.1
34.0725	-117.5692	2.2
40.3747	-125.2532	2.8
32.2795	-115.3057	3.5
35.1173	-118.523	2.2
36.5663	-121.162	2
37.3023	-121.6742	2.2
38.3524	-118.6994	2.25
33.8588	-118.2748	2.8
40.2937	-124.4882	2.2
38.8035	-122.8105	2.4
34.5105	-118.8155	2.4
36.1967	-120.7623	2.9
35.1765	-117.1258	2.2
37.3835	-118.4523	2
38.8228	-122.8065	2.1
38.8177	-122.819	2.6
37.3885	-121.7397	2
38.7872	-122.7363	2.1
44.6973	-117.4637	2.7
32.9315	-115.5307	2.1
36.5657	-121.16	2.7
36.5642	-121.1567	2.5
34.2077	-117.0138	3
41.2112	-122.1097	2
35.0588	-118.3493	2
41.1331	-127.321	4.5
40.1877	-121.0238	2.3
35.6755	-117.514	2.4
33.2667	-115.9975	2.6
40.5433	-121.6668	2.3
36.6397	-121.2582	2
34.7072	-116.2962	2
38.8347	-122.8073	2
41.7323	-124.9238	2.4
41.127	-126.9557	3.4
34.0207	-116.5848	2.5
40.2998	-124.5573	2.5
40.4708	-121.523	2.3
38.9582	-111.4015	2.2
34.7077	-116.2923	3.2
36.0973	-117.8795	2.4
37.4805	-121.808	2.7
31.2802	-115.7652	3.4
31.253	-115.7043	2.7
31.2158	-115.7792	3.2
32.9497	-115.545	2
40.2873	-124.3752	2.4
37.3247	-119.9163	2.7
44.189	-116.4053	2.2
36.7873	-121.5258	2.8
39.5977	-121.5667	2.3
36.7185	-116.3408	2.66
36.8773	-121.6055	2.7
36.5873	-121.19	2.1
41.2515	-127.5998	2.7
38.814	-122.8163	2.1
36.2488	-120.8157	3.2
41.0897	-127.4181	3
40.2933	-124.5073	2.5
35.3472	-118.5765	2.2
33.164	-115.6533	2.4
34.4948	-116.5192	2.8
40.6805	-123.472	3.2
36.1463	-118.0682	2.1
38.7905	-122.7467	2.3
34.1135	-117.4385	2.5
33.343	-116.3908	2.3
38.8408	-122.8262	2.9
38.8308	-122.809	2.7
45.0643	-123.0828	2.1
39.8932	-120.8408	3.1
31.8075	-116.041	2.7
36.9057	-121.4947	2.2
40.2247	-121.1672	2.2
36.5868	-121.1902	2.3
36.0148	-117.5362	2.2
40.4415	-124.4983	2
38.8352	-122.7723	2.2
37.5222	-118.8277	2.7
40.2395	-120.3173	2.1
37.2651	-117.5799	3.07
38.3217	-113.071	2.4
34.6107	-120.6955	2.4
37.3873	-121.7362	2.5
33.2628	-116.0045	2.1
36.0492	-120.1918	2.1
32.2155	-115.2418	3
32.2417	-115.2493	2.8
38.8383	-122.8357	2.2
39.3064	-119.9897	2.08
32.2015	-115.1967	3.8
42.0067	-112.6255	2.2
38.7463	-122.721	2
38.7457	-122.7285	2.4
38.7487	-122.7197	2.2
38.7448	-122.7223	3.3
